"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl_gene_id_version","ensembl_gene_id","external_gene_name"
"31",1758.42321949724,1.06078095593345,0.187436210047214,5.70615946877333,1.15553743983872e-08,5.17897436317716e-06,"ENSMUSG00000022521.10","ENSMUSG00000022521","Crebbp"
"32",2121.73369809042,1.08990569974517,0.193162701457655,5.7068424794313,1.15091201369348e-08,5.17897436317716e-06,"ENSMUSG00000029910.14","ENSMUSG00000029910","Mad2l1"
"33",52.4646967935875,-0.882095225735765,0.169581945637844,-5.62996523257778,1.80245951219034e-08,7.83359827994967e-06,"ENSMUSG00000101645.1","ENSMUSG00000101645","Gm28635"
"34",1324.84502723153,1.07567430605861,0.19351833247519,5.61796453512916,1.93220145727743e-08,8.15048038243319e-06,"ENSMUSG00000089824.10","ENSMUSG00000089824","Rbm12"
"35",492.879019026688,1.16276580790837,0.216822629853939,5.54129377179399,3.00245027838723e-08,1.23031833978942e-05,"ENSMUSG00000022901.13","ENSMUSG00000022901","Cd86"
"36",15575.9321155801,1.04282884516316,0.190474678182003,5.53205560602177,3.16499527922522e-08,1.26089895262911e-05,"ENSMUSG00000025261.18","ENSMUSG00000025261","Huwe1"
"37",785.757661322116,1.11870863547037,0.216265895518034,5.36420906525119,8.13046905752005e-08,3.15154560062034e-05,"ENSMUSG00000027778.15","ENSMUSG00000027778","Ift80"
"38",1714.80666062003,-1.00663149677175,0.191414328556024,-5.2202331177455,1.78698051041491e-07,6.57150627701813e-05,"ENSMUSG00000074622.4","ENSMUSG00000074622","Mafb"
"39",245.229869916699,1.21459010902201,0.214621219197944,5.22195901882979,1.77040154476781e-07,6.57150627701813e-05,"ENSMUSG00000110331.1","ENSMUSG00000110331","Nudc-ps1"
"40",169.723390331094,0.884785403912887,0.213058187551738,5.21517868869759,1.83640122525681e-07,6.58441659315828e-05,"ENSMUSG00000020340.16","ENSMUSG00000020340","Cyfip2"
"41",912.120363518068,1.02942529787722,0.202255594716542,5.16040122772859,2.46421146599964e-07,8.61993191350412e-05,"ENSMUSG00000033713.12","ENSMUSG00000033713","Foxn3"
"42",189.288063436101,-1.17750314882465,0.217689197633848,-5.14285086829236,2.70600422768923e-07,9.24036015083785e-05,"ENSMUSG00000089652.1","ENSMUSG00000089652","Gm16025"
"43",2650.19773546868,0.946480848020059,0.186879754941372,5.10279418384483,3.34674918605823e-07,0.000111625760061505,"ENSMUSG00000038116.16","ENSMUSG00000038116","Phf20"
"44",156.12560840876,0.929476015335903,0.218400692442326,5.03066463223388,4.88782471850866e-07,0.000156475750488677,"ENSMUSG00000024525.7","ENSMUSG00000024525","Impa2"
"45",174.137692404301,1.45050431544846,0.219449029139833,5.0298107399059,4.90964215032107e-07,0.000156475750488677,"ENSMUSG00000117165.1","ENSMUSG00000117165","Gm49832"
"46",2185.20180733146,0.918402172988137,0.183977337366398,5.02073045089755,5.14753523799716e-07,0.000160491196485555,"ENSMUSG00000084319.3","ENSMUSG00000084319","Tpt1-ps3"
"47",2007.16445063914,0.912669021602213,0.185600069066142,4.94903816320984,7.45811238093561e-07,0.000222842182848705,"ENSMUSG00000026437.11","ENSMUSG00000026437","Cdk18"
"48",166.583451065499,1.13055939639982,0.212486911664264,4.94920648495732,7.45166598974383e-07,0.000222842182848705,"ENSMUSG00000091905.3","ENSMUSG00000091905","Gm6395"
"49",107.307226199369,0.779587625563471,0.207261777756792,4.94417357701686,7.64675499151609e-07,0.000223815836914946,"ENSMUSG00000020268.14","ENSMUSG00000020268","Lyrm7"
"50",127.795205309106,0.81735700139883,0.211453536280619,4.86848300421941,1.12458192482013e-06,0.000322575079315406,"ENSMUSG00000024238.15","ENSMUSG00000024238","Zeb1"
"51",2497.21908068048,0.933393592632239,0.194877167364183,4.83934532963735,1.30267525688588e-06,0.0003644451724594,"ENSMUSG00000069895.4","ENSMUSG00000069895","Atxn1l"
"52",142.586482844897,1.08164109000467,0.211028372058028,4.83651181615209,1.32137421335161e-06,0.0003644451724594,"ENSMUSG00000116358.1","ENSMUSG00000116358","Gm49450"
"53",2418.17842746656,0.90930955676042,0.195636586023361,4.69650166063467,2.64655084729304e-06,0.000716166646261827,"ENSMUSG00000007833.15","ENSMUSG00000007833","Aldh16a1"
"54",130.17663384492,0.826106052848251,0.213032011882448,4.6808250013812,2.85722762118366e-06,0.000751443564302916,"ENSMUSG00000056498.13","ENSMUSG00000056498","Tmem154"
"55",123.293742016713,0.801878421660314,0.211892479924027,4.67907617029187,2.88170380955658e-06,0.000751443564302916,"ENSMUSG00000097327.7","ENSMUSG00000097327","E030030I06Rik"
"56",199.422252128594,0.926978636898992,0.221781958256437,4.67007276484219,3.01093064755965e-06,0.000771120845487509,"ENSMUSG00000096370.8","ENSMUSG00000096370","Gm21992"
"57",3531.14801903359,0.812358240276231,0.17680725920876,4.61488027798191,3.93321980682868e-06,0.000972590318440291,"ENSMUSG00000022451.12","ENSMUSG00000022451","Twf1"
