	RAW_shC_LPS_5hr_S2_L008_R1_001	RAW_sh2_GIV_LPS_5hr_S6_L008_R1_001	RAW_sh1_GIV_LPS_5hr_S4_L008_R1_001
ENSMUSG00000000253.13	148.725713423628	208.324441755512	144.808148377281
ENSMUSG00000000263.15	0	0	0
ENSMUSG00000000266.11	15.0773894031218	11.7492198309145	11.9222639550728
ENSMUSG00000000275.16	41847.2160589735	38422.844682817	47432.3219548629
ENSMUSG00000000276.11	811.023365233384	900.999227881089	890.111300778765
ENSMUSG00000000278.10	5031.63430228832	4370.27810868151	4757.61327789724
ENSMUSG00000000282.12	739.121646163172	658.485883039446	605.351082456658
ENSMUSG00000000290.13	17054.0153569366	16655.671217107	20260.8265889222
ENSMUSG00000000295.13	449.863275867891	458.892278927708	384.231724840873
ENSMUSG00000000296.8	0.933385444670118	0	2.21823811540956
ENSMUSG00000000301.16	146.841235866537	115.332093025066	186.594944339646
ENSMUSG00000000303.12	0	0	0
ENSMUSG00000000305.12	0	0	0
ENSMUSG00000000308.14	0	0	0
ENSMUSG00000000317.11	430.156370587853	335.009280710247	578.182049519327
ENSMUSG00000000318.16	54.4647387844631	91.1359992265671	85.6522629795214
ENSMUSG00000000320.10	0.847504259688746	2.33673220782441	3.02970550522952
ENSMUSG00000000325.16	3.99210644566993	6.28598273752917	6.69474415697106
ENSMUSG00000000326.13	2414.89495112362	2379.5847389019	2141.79435469561
ENSMUSG00000000339.14	1581.8380157677	1363.52136968822	1881.44208916938
ENSMUSG00000000340.10	2228.62109749338	2267.41891112379	2529.08636902749
ENSMUSG00000000346.9	7384.20509488656	7431.00956474973	7632.51008504343
ENSMUSG00000000355.13	1861.1487801255	1920.69230407368	2030.99784324296
ENSMUSG00000000359.3	0	0	0
ENSMUSG00000000365.9	0	0	0
ENSMUSG00000000374.8	2191.50675226695	2532.40149206396	2026.28195596912
ENSMUSG00000000378.15	1254.92452834586	1282.80183037782	1533.09572139939
ENSMUSG00000000381.10	0	0	0
ENSMUSG00000000384.15	3886.91239247444	3673.95201515803	3508.13526531638
ENSMUSG00000000385.8	0	0	1.11157168238926
ENSMUSG00000000386.16	26682.6082231124	18041.2342721099	24347.1151711153
ENSMUSG00000000392.17	107.067954143827	145.798749245733	105.93916720701
ENSMUSG00000000394.15	0	0	1.11157168238926
ENSMUSG00000000399.10	4468.89786260819	4105.91981577556	4205.06764456231
ENSMUSG00000000402.2	0	0	1.11157168238926
ENSMUSG00000000409.14	1162.38756172846	1011.20972294742	1059.35673882592
ENSMUSG00000000411.7	1.86860940230018	1.91940136535862	1.11525880877758
ENSMUSG00000000416.16	0	0	0
ENSMUSG00000000420.15	1555.75231965271	2048.24292242647	2200.51764585464
ENSMUSG00000000435.1	0	0	0
ENSMUSG00000000439.9	694.612369548592	689.050787643703	262.094336232978
ENSMUSG00000000440.12	28.7974457335852	14.7770341971092	25.3794676675113
ENSMUSG00000000441.17	3227.68046982175	2922.61466594717	3304.95916058302
ENSMUSG00000000486.13	5.25070231695048	4.20005349926807	3.26482777855045
ENSMUSG00000000489.7	7001.20923023343	8035.6897692555	15175.7748288842
ENSMUSG00000000530.16	1303.95000747515	987.152327853021	967.623047562679
ENSMUSG00000000531.5	12.5237034693473	16.5426297987915	20.543020158102
ENSMUSG00000000532.11	1451.83179936567	1197.32150142971	1171.05610603947
ENSMUSG00000000538.18	559.752605443909	510.829863703835	444.488545409262
ENSMUSG00000000544.14	0	0	0
ENSMUSG00000000552.10	351.911239252231	498.343617225959	370.21949612683
ENSMUSG00000000555.8	33999.4672918121	26709.5470362853	31302.4466850212
ENSMUSG00000000560.9	6.96726218122167	10.8871669939077	16.6109131348568
ENSMUSG00000000561.14	7367.81000410723	8538.3726912541	7184.60600616506
ENSMUSG00000000562.5	509.492182418898	284.052379583012	247.076426983816
ENSMUSG00000000563.17	17789.533022924	18758.6715272692	18441.7324848508
ENSMUSG00000000567.5	0	0	0
ENSMUSG00000000568.15	8412.66740242742	9415.22748438683	9020.16057546148
ENSMUSG00000000579.14	271.1711304854	145.076049487514	117.338200303994
ENSMUSG00000000581.8	1968.10651071144	2182.12049446038	2313.97291789722
ENSMUSG00000000594.7	1366.34450773208	1086.19596811577	1369.88063169517
ENSMUSG00000000600.15	2793.62009669989	2533.120486053	2824.08582126187
ENSMUSG00000000605.9	2117.9972783412	2052.26995160363	2269.43559734332
ENSMUSG00000000606.18	4.88859161165483	4.600645560654	0
ENSMUSG00000000617.14	0	0	0
ENSMUSG00000000627.15	0.931325978584393	0	0
ENSMUSG00000000628.10	9803.12112219158	11593.3398480413	10404.3399715163
ENSMUSG00000000631.20	1480.43864589412	1791.13932100291	2958.93884376463
ENSMUSG00000000632.13	0	0	0
ENSMUSG00000000673.9	0	0.611465255433848	1.75600803146786
ENSMUSG00000000682.7	14600.3567063147	14218.3344085256	16960.984031094
ENSMUSG00000000686.11	21.4492759896406	22.5500325567769	24.189453192418
ENSMUSG00000000690.5	313.461299271233	234.26505504038	203.961572884508
ENSMUSG00000000693.10	156.686861751728	69.7540308489629	135.801961878935
ENSMUSG00000000701.8	0	0	0
ENSMUSG00000000706.16	0	0	1.11157168238926
ENSMUSG00000000708.14	3029.48514076425	1567.6897725042	2118.32648627693
ENSMUSG00000000711.3	3626.86948995492	3619.42349199914	3958.19336992887
ENSMUSG00000000724.10	0	0.965963703930853	0
ENSMUSG00000000730.13	78.6069315284309	221.886272570044	93.3453020947999
ENSMUSG00000000731.15	0	2.89789111179256	0
ENSMUSG00000000732.9	228.837673695904	738.952629620098	634.56762046642
ENSMUSG00000000738.18	1896.93302454519	1815.49607629941	1873.64381983254
ENSMUSG00000000739.14	10.2825613070267	6.71900508926079	8.91608981360047
ENSMUSG00000000740.12	29550.9649426129	16998.7410906614	27693.2648161524
ENSMUSG00000000743.9	1402.90875603048	3394.43114260506	4176.73253033113
ENSMUSG00000000751.13	2716.82105231009	3238.9359361465	2798.22813912089
ENSMUSG00000000753.15	9.87775378436202	26.0745729862571	8.17679228211393
ENSMUSG00000000759.14	1998.73815342334	1851.9601895206	1781.87499778391
ENSMUSG00000000766.18	0	0	0
ENSMUSG00000000776.13	1989.47682038736	1688.63398789767	1738.89888672181
ENSMUSG00000000782.16	0.480260407004782	0	2.1555713728814
ENSMUSG00000000787.12	27814.0841271114	32986.9171308923	32889.0051811268
ENSMUSG00000000791.9	41.1613234647107	40.0673933216065	26.3578037851786
ENSMUSG00000000792.2	7.37260877426763	10.8374192591552	7.70963199785318
ENSMUSG00000000794.9	0	0	0
ENSMUSG00000000804.14	1790.36784727215	2462.36692825659	2637.96101639004
